nivel;confiabilidade;FAIXA_SCORE;OPERACAO;IDENTIFICA_GRUPO_MODELO;CANAL_PCO_AJUSTADO;taxa_conversao_ref;taxa_fpd_ref;n_aprovados;n_convertidos;n_maus;vars_usadas
1;ALTA;R01;FIXA;G1 - CLIENTE RELACION BOM;CROSSELING;0.3965914728;0.0203826343;34267;13590;277;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R01;FIXA;G1 - CLIENTE RELACION BOM;DIGITAL;0.6765769194;0.0262251283;21022;14223;373;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R01;FIXA;G1 - CLIENTE RELACION BOM;OUTROS;0.3695825802;0.0217242948;47578;17584;382;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R01;FIXA;G2 - EX CLIENTE RELACION BOM;DIGITAL;0.6650021711;0.0427685276;4606;3063;131;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R01;FIXA;G2 - EX CLIENTE RELACION BOM;OUTROS;0.4945848375;0.0461006531;5263;2603;120;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R01;FIXA;G3 - CLIENTE NOVO;CROSSELING;0.5951502372;0.0420726306;3794;2258;95;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R01;FIXA;G3 - CLIENTE NOVO;DIGITAL;0.6853861249;0.0346105263;17326;11875;411;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R01;FIXA;G3 - CLIENTE NOVO;OUTROS;0.543930602;0.0396551724;17061;9280;368;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R01;MOVEL;G0 - CLIENTE ALTO VALOR;DIGITAL;0.5942492013;0.1388888889;1878;1116;155;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R01;MOVEL;G0 - CLIENTE ALTO VALOR;OUTROS;0.323715847;0.0519918974;4575;1481;77;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R01;MOVEL;G1 - CLIENTE RELACION BOM;CROSSELING;0.402190523;0.0447459396;152475;61324;2744;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R01;MOVEL;G1 - CLIENTE RELACION BOM;DIGITAL;0.7154969978;0.060868706;198019;141682;8624;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R01;MOVEL;G1 - CLIENTE RELACION BOM;OUTBOUND;0.6448628295;0.049716383;9295;5994;298;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R01;MOVEL;G1 - CLIENTE RELACION BOM;OUTROS;0.3627894624;0.0349547312;297448;107911;3772;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R01;MOVEL;G1 - CLIENTE RELACION BOM;URA_ATIVACAO;0.2556648406;0.2882882883;16064;4107;1184;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R01;MOVEL;G2 - EX CLIENTE RELACION BOM;CROSSELING;0.3306666667;0.3629032258;1500;496;180;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R01;MOVEL;G2 - EX CLIENTE RELACION BOM;DIGITAL;0.7011119168;0.4164799173;8274;5801;2416;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R01;MOVEL;G2 - EX CLIENTE RELACION BOM;OUTBOUND;0.5492154066;0.225974026;701;385;87;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R01;MOVEL;G2 - EX CLIENTE RELACION BOM;OUTROS;0.4773331684;0.1194610003;16169;7718;922;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R01;MOVEL;G2 - EX CLIENTE RELACION BOM;URA_ATIVACAO;0.3467317806;0.4680390033;2662;923;432;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R01;MOVEL;G3 - CLIENTE NOVO;CROSSELING;0.3957886528;0.4527093596;5129;2030;919;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R01;MOVEL;G3 - CLIENTE NOVO;DIGITAL;0.7211767175;0.4880438473;28588;20617;10062;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R01;MOVEL;G3 - CLIENTE NOVO;OUTBOUND;0.6235041424;0.1993110236;3259;2032;405;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R01;MOVEL;G3 - CLIENTE NOVO;OUTROS;0.5377727922;0.1166989039;49030;26367;3077;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R01;MOVEL;G3 - CLIENTE NOVO;URA_ATIVACAO;0.3338014042;0.5757211538;4985;1664;958;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R01;MOVEL;G4 - PRE PAGO SEM DIVIDA;CROSSELING;0.3322386899;0.2273377552;23143;7689;1748;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
